bgg_id,primary_name,all_names,year,description,min_players,max_players,playing_time,min_play_time,max_play_time,min_age,categories,mechanics,families,designers,artists,publishers,bgg_rank,average_rating,bayes_average,users_rated,weight,owned
1115,Poker,Poker; 'Hold em or fold em'; 300-Piece Poker Set; 7-card Stud; Así se Juega al Poker; Asterix bei den Schweizern: Poker; Asterix Chez les Helvetes: Jeu de Poker; Casino Style Texas Hold'Em Poker Set; Cigar Poker; Complete Texas Hold 'Em; Five Card Draw; Meister Poker; No. 18 Poker; Omaha 8; Opti Supreme Poker; Pink Poker Night; Poker Bridge; Poker Deck; Poker for Dummies; Poker Francais; Poker Keychain; Poker Set; Pokereasy; Pokeri; Pokker; Seven Card Stud; Strip Poker; Texas Hold 'Em for Juniors; Texas Hold 'Em Poker; Texas Hold 'Em Poker Set; Texas Hold 'Em Tournament Poker; Texas Hold'em; Texas Holder; Tourism: Poker; Werewolf: The Wild West – Poker Deck; Πόκερ; 梭哈; 냥트; 포커,1810,"Poker is played with a standard deck of 52-cards, and sometimes Jokers are added as wild cards. The object of the game is to win the pot which contains all the bets the players have made in a deal.  Players are dealt cards which are usually reduced to a Poker hand of five (5) cards. Betting and bluffing are used in rounds until all bets are squared up, or until all other players have conceded the pot (folded). If all bets have been squared up, the rounds are followed by a &quot;showdown&quot; in...",2,10,60,60,60,12,Bluffing; Card Game,Betting and Bluffing; Player Elimination; Set Collection,Traditional Card Games: Poker; Components: Traditional Playing Cards; Digital Implementations: Board Game Arena; Digital Implementations: Tabletopia; History: American Old West (Wild West); Promotional: Board Games; Series: Games for Dummies,(Uncredited),René Goscinny; Albert Uderzo,"(Public Domain); (Self-Published); (Unknown); AG Müller (AGMüller); Ambassador Games (Merchant Ambassador); ASS Altenburger Spielkarten; Basic Fun, Inc.; Berliner Spielkarten; Capitol Carta Roma; Cardinal; Coach House Games, Inc.; Coca-Cola; Editions ATLAS; Endless Games (I); Excalibur Electronics; F.X. Schmid; Front Porch Classics; Fundex; Helmut Lingen Verlag; Heraclio Fournier; Jax, Ltd.; Marigó; Offason; Piatnik; Prime Promotion; Rosiness; Skor-Mor; Spear's Games; Spin Master Ltd.; Starz Entertainment; Tactic; TS Spielkarten; TV Products USA Inc; Uitgeverij van der Meulen; The United States Playing Card Company; University Games; Waddingtons; White Wolf Entertainment AB",1372,6.70697,6.45736,11659,2.4303,11177
111999,Pharaoh Code,Pharaoh Code; Kod Faraona; Opération Pharaon; Pharao Code; Pyramid Code; Код Фараона; צופן הפירמידה; 法老密碼; 파라오 코드,2011,"In Pharaoh Code, you're trying to claim as many scarabs as you can by solving the aforementioned codes. To set up the game, you divide the number tiles into four piles based on the number of scarabs on them, with more scarabs typically signifying larger numbers. To create the number pyramid, you lay out one tile with four scarabs, two tiles with three, and so on.&#10;&#10;On a turn, one players rolls the three dice &ndash; an octahedron, a decahedron and a dodecahedron &ndash; then all players t...",2,5,20,20,20,10,Dice; Educational; Math; Number; Party Game; Real-time,Dice Rolling,,Jung-Hun Lim,Jun-Ho Na,AMIGO; Brain Games; Broadway Toys LTD; FoxMind Israel; G3; Gigamic; Korea Boardgames; Lautapelit.fi; Lifestyle Boardgames Ltd,15064,5.94319,5.53378,277,1.4,355
112,Condottiere,Condottiere; Кондотьер; رکب (Rakab); 傭兵隊長; 傭兵隊長新版,1995,"It is 13th century Italy. Trade is flourishing between the city-states and the Levant. Venice, Florence, and Genoa are all bursting with wealth. However, each city-state is also plagued with a weak national army, leaving them defenseless against invasion from their envious neighbors. Enter the Condottiere. &#10; As veteran English soldiers returned from the Crusades, Italy found itself with an influx of desperate and capable men. These hired swords were contracted to fight for individual city-st...",2,6,45,20,45,10,Bluffing; Card Game; Medieval; Negotiation,Area Majority / Influence; Auction / Bidding; Constrained Bidding; Hand Management,"Admin: Better Description Needed!; Cities: Florence (Tuscany, Italy); Components: Map (Continental / National scale); Components: Wooden pieces & boards; Country: Italy; Digital Implementations: VASSAL; History: Italian City-States; Series: Fantasy Flight Silver Line",Dominique Ehrhard; Duccio Vitale; Justin Kemppainen,Dominique Ehrhard; John Goodenough; Serge Hochain; Tomasz Jedruszek; Scott Nicely; Mohammad Noureddine; David Palumbo; Samuel R. Shimota,Eurogames; (Unknown); Arclight Games; Delta Vision Publishing; Descartes Editeur; Edge Entertainment; Fantasy Flight Games; Galakta; Giochi Uniti; Heidelberger Spieleverlag; Hobby World; Lautapelit.fi; Nexus Editrice; Roomiz Games; Ubik; Z-Man Games,1017,6.88624,6.61935,10594,1.9521,13631
117555,CLACK!,CLACK!; Clac Clac; Clack!; Crazy Clack!; Cvak!; Halli Klack!; Klack!; Klik!; קלאק,2012,"CLACK! is both the name of the game and the sound that the magnetic discs in the game will make when you slap one against another &ndash; and slap them together you will as you're trying to claim the right discs as quickly as possible.&#10;&#10;To set up the game, lay out all 36 discs face up so that everyone can see the colored symbols on them. One player rolls the two dice &ndash; one showing colors, the other symbols &ndash; then everyone simultaneously tries to grab any discs showing the col...",2,6,10,10,10,4,Children's Game; Party Game; Real-time,Dice Rolling; Pattern Recognition; Speed Matching,Components: Dice with Icons,Haim Shafir,Markus Wagner,AMIGO; 999 Games; Brain Games; Corfix; Gigamic; Lautapelit.fi; Mercurio; Shafir Games (המשחקים של חיים שפיר); VR Distribution,16738,5.73291,5.526,371,1.0714,872
117558,Escape: Fighting for Freedom,Escape: Fighting for Freedom; Escape,2013,"Escape: Fighting for Freedom takes place in a post-apocalyptic world in which artificial intelligence will ensure the good of humanity... A little too much for some humans, who revolt. The game focuses on the confrontation between the resisting humans and robots.&#10;&#10;Escape is a light miniatures wargame, taking place in the Eden universe. The game is designed for two players: one player takes control of the International Scientific Council (I.S.C.) and its force of robots; the other player ...",1,6,60,60,60,12,Exploration; Fighting; Miniatures; Science Fiction,Action Points; Area Movement; Cooperative Game; Variable Player Powers,Crowdfunding: Kickstarter,Mohamed Ait-Mehdi; Mélanie Marlier; Thibault Sarels; Fabrice Tran,Mohamed Ait-Mehdi,Happy Games Factory; Taban Miniatures; Thermopyles,20063,7.83636,5.51419,33,2.3333,110
118,Modern Art,Modern Art; Art Moderne; Arte Moderna; Arte Moderno; Современное искусство; Сучасне мистецтво; هنر مدرن; スタンプス (Stamps); モダンアート; 現代藝術; 現代藝術 (现代艺术); 모던 아트,1992,"Buying and selling paintings can be a very lucrative business.  Five different artists have produced a bunch of paintings, and it's the player's task to be both the buyer and the seller, hopefully making a profit in both roles.  He does this by putting a painting from his hand up for auction each turn.  He gets the money if some other player buys it, but must pay the bank if he buys it for himself.  After each round, paintings are valued by the number of paintings of that type that were sold.  T...",3,5,45,45,45,10,Card Game; Economic,Auction / Bidding; Auction: English; Auction: Once Around; Auction: Sealed Bid; Auction: Turn Order Until Pass; Commodity Speculation; Hand Management; Victory Points as a Resource,Components: Player Screens; Misc: Dice Tower Hall of Fame; Misc: LongPack Games; Series: 31 Minutos (Fractal Juegos); Series: Book Box (DiceTree); Theme: Art; Theme: Fine Art and Art Museums; Theme: Painting / Paintings,Reiner Knizia,Carole Carrion; Manuel Carvalho; Chen Cheng-po; Mike Doyle (I); Pete Fenlon; Gianfranco Giordano; Paul Laane; Ramon Martins; Daniel Melim; Rafael Silveira; Sigrid Thaler; Zeilbeck & Natzeck Design Company,"Hans im Glück; Arrakis Games; CMON Global Limited; DiceTree Games; Drosselmeyer & Co. Ltd.; Fractal Juegos; Galápagos Jogos; GeGe Co. Ltd.; Kaissa Chess & Games; Land of Beautiful Mind (سرزمین ذهن زیبا); Lautapelit.fi; Lavka Games; Lighthouse Games; Matagot; Mayfair Games; New Games Order, LLC; Odysseia Jogos; Oink Games; Pegasus Spiele; Phantasia Co., Ltd; Rebel Sp. z o.o.; Wargames Club Publishing; WoodCat",216,7.51576,7.32304,24205,2.2856,31870
118258,Zebra-Schwein,Zebra-Schwein; AniMix,2012,"Zebra-Schwein will have your children committing unspeakably horrible genetic experiments in the comfort and safety of their own home.&#10;&#10;No, actually Zebra-Schwein only has children draw unspeakably horrible genetic experiments, specifically the combination of two animals as determined by a secret die roll. To set up the game, lay out the six animal tiles in a circle; each tile shows a die face next to the animal: zebra is 1, mouse is 2, etc.&#10;&#10;On a turn, a player secretly rolls tw...",3,6,20,20,20,6,Animals; Children's Game; Party Game,Line Drawing,Animals: Camels; Animals: Dogs; Animals: Pigs; Animals: Snakes,Emely Brand; Lukas Brand,Anne Pätzke,Competo / Marektoy; Schmidt Spiele,22856,5.79167,5.50484,36,1,66
118568,Ubongo! Junior,Ubongo! Junior; Bamses Ubongo; Ubongo Junior,2012,"Ubongo Junior takes the familiar tile-laying, pattern-matching play from Ubongo and scales it down for a younger audience.&#10;&#10;In Ubongo Junior, each player starts the game with nine tiles &ndash; each of a different color and shape, and each showing an animal &ndash; along with a stack of seven puzzle boards. The puzzle boards show an arrangement of squares that can be covered with two tiles (on the easy side) or three (on the hard side); the tiles to be used are depicted on the board.&#10...",2,4,20,20,20,5,Puzzle; Real-time,Pattern Recognition; Real-Time; Tile Placement,Characters: Bamse; Components: Gems/Crystals; Components: Sand Timers; Game: Ubongo; Versions & Editions: Junior Versions of Grown-Up Games,Grzegorz Rejchtman,Rune Andréasson; Annette Nora Kara,KOSMOS; Devir; Four Esses; Kärnan; White Goblin Games,8088,6.63288,5.6199,286,1.5714,839
118705,Ghost Blitz 2,Ghost Blitz 2; Bazar Bizarre 2.0; Blitz 2.0; Duchová v koupelně; Duuuszki w kąpieli; Fantascatti 2.0; Fantasma Blitz 2.0; Geistesblitz 2.0; Vlotte Geesten 2.0; Барамелька; Привид Розумака 2.0; 快手鬼鬼2.0; 閃靈快手2.0,2012,"Ghost Blitz 2.0 &ndash; The new version of Ghost Blitz with different items &ndash; five wooden items sit on the table waiting to be caught: a white female ghost, a green frog, a grey bathtub, a blue hairbrush, and a red bath towel. Each card in the deck shows pictures of two objects, with one or both objects colored the wrong way. With all players playing at the same time, someone reveals a card, then players grab for the &quot;right&quot; object &ndash; but which object is right?&#10;&#10;&#10...",2,8,30,30,30,8,Action / Dexterity; Card Game; Children's Game; Party Game; Real-time,Pattern Recognition,Creatures: Ghosts; Game: Geistesblitz; Versions & Editions: Sequels,Jacques Zeimet,Gabriela Silveira,"Zoch Verlag; 999 Games; Competo / Marektoy; Devir; Egmont Polska; Gigamic; Giochi Uniti; Jolly Thinkers; KADABRA; Lifestyle Boardgames Ltd; Lion Rampant Imports; MINDOK; Rozum; Swan Panasia Co., Ltd.",2824,6.73247,6.04532,2038,1.1765,4029
119500,Wanna Bet?,Wanna Bet?; Haaste; Lažinkimės?; Saderēsim?; Ska vi slå vad?; Skal vi vædde?; Tahad kihla vedada?; Vil du vedde?; Wedden dat je het kan?; Założysz się?; Спорим?,2012,"From the publisher:&#10;In this hilarious family game, players are challenged to perform different kinds of tasks while other players bet whether or not they can succeed in them. If the others guess correctly, they receive the amount of game money they bet as a reward, whereas you get a reward if you perform the task without failing. Wanna Bet? is an excellent addition to all game nights. Its interactive nature and hilarious content make it an instant hit with both adults and children!&#10;&#10;",3,6,45,45,45,7,Humor; Party Game,Acting; Betting and Bluffing; Roll / Spin and Move,,Kåre U. Andersen,Jussi Wallenius,Tactic,25988,5.54182,5.49018,209,1.5,423
120933,The Cupcake Game,The Cupcake Game,2011,"A children's game for 2-4 players.  Each player chooses 1 of the 4 recipe cards that (s)he want to bake.  Then it's a race to see who can &quot;bake&quot; their cupcakes the fastest! In order to bake their goodies, players must first collect all the ingredients on their recipe card.  To get your ingredients, you must flick the spatula spinner and hope it lands where you want (and not the the rotten egg - lose a turn space!)&#10;&#10;The game is designed to be a fun way to help kids learn about f...",2,4,0,0,0,5,Children's Game,,Theme: Food / Cooking,,,eeBoo,,3.35714,0,14,0,31
