id,title,alternativeTitles,year,publicationDates,humanReadablePublicationDates,languages,originalLanguages,authors,publishers,summary,genres,subjects,playingTimes,targetAudienceNotes,physicalDescriptions,bgg_id,bgg_primary_name,bgg_all_names,bgg_year,bgg_description,bgg_min_players,bgg_max_players,bgg_playing_time,bgg_min_age,bgg_categories,bgg_mechanics,bgg_designers,bgg_publishers,bgg_rank,bgg_average_rating,bgg_bayes_average,bgg_users_rated,bgg_weight,bgg_owned
keski.3333497,Opetellaan liikennepeli,,2024,2024,[2024],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; lautapelit; lastenpelit,,,Ikäsuositus: 6-10-vuotiaille.,1 lautapeli (useita osia kotelossa) ; 25 x 25 x 7 cm + 1 sääntövihko (4 sivua),431152,Opetellaan Liikennepeli,Opetellaan Liikennepeli,2024,"Opetellaan Liikennepeli is an educational board game for children aged 6&ndash;10 that teaches them traffic rules and regulations. Players must visit specific points on the board. Each turn begins with a traffic trivia question, and correct answers will give more movement points.&#10;&#10;",2,4,30,6,Children's Game; Educational,Action Points; Movement Points; Point to Point Movement; Race,,Tactic,,5.33333,0,3,2,0
keski.3200445,Hoksaa tunteet! : vauhdikas tutkimispeli,,2021,2021,[2021],fin; swe; eng,,"{'primary': {'Viianen, Johanna': {'role': ['-']}, 'Hiltunen, Mikko': {'role': ['-']}, 'Mukka, Kiira': {'role': ['-']}, 'Siiriäinen, Tuire': {'role': ['-']}, 'Ylönen, Maija': {'role': ['-']}, 'Nikkanen, Lynn': {'role': ['-']}}, 'secondary': {'Viianen, Johanna, designer': {'role': ['designer']}, 'Hiltunen, Mikko, graafinen suunnittelija, kuvittaja': {'role': ['graafinen suunnittelija']}, 'Mukka, Kiira, graafinen suunnittelija, kuvittaja': {'role': ['kääntäjä']}, 'Siiriäinen, Tuire, graafinen suunnittelija, kuvittaja': {'role': ['-']}, 'Ylönen, Maija, kääntäjä': {'role': ['-']}, 'Nikkanen, Lynn, kääntäjä': {'role': ['-']}}, 'corporate': []}",Sanoma Pro Oy,Vauhdikkaassa tutkimispelissä etsitään pelilaudalta erilaisia tilanteita ja tunteita – pisteen vie nopeimmin tunteen tunnistanut pelaaja! Eläinaiheinen ja humoristinen kuvitus ilahduttaa kaikenikäisiä pelaajia.,lautapelit; pelit; lastenpelit,['tunteet'],,Ikäsuositus: 4-8-vuotiaille.,1 lautapeli + 1 sääntövihko (15 sivua) kotelo 25 x 15 x 7 cm,,,,,,,,,,,,,,,,,,,
keski.2556198,Dominion : valtakunta,Valtakunta,2009,2009,2009.,fin,,"{'primary': {'Vaccarino, Donald X.': {'role': ['-']}}, 'secondary': {'Vaccarino, Donald X., suunnittelija': {'role': ['suunnittelija']}}, 'corporate': []}",Lautapelit.fi [jakaja],,pelit; lautapelit; strategiapelit,['nuoret']; ['aikuiset']; ['keskiaika']; ['historia'],,,1 lautapeli (useita osia kotelossa),,,,,,,,,,,,,,,,,,,
keski.2856547,Monopoly : nopean sijoittajan kiinteistöpeli,Nopean sijoittajan kiinteistöpeli,2013,2013,cop. 2013.,fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Hasbro Europe,,pelit; lautapelit,['raha']; ['kiinteistöt']; ['kiinteistökauppa']; ['sijoitustoiminta'],,,1 lautapeli (useita osia kotelossa),1406,Monopoly,"Monopoly; Ålborg på spil; Banco Imobiliário; Banco Imobiliário Brasil; Banco Imobiliário Mundo; Banco Imobiliário: Luxo; Beuru Mabeul; Cờ Phú Ông; Cờ Tỷ Phú; Compact Monopoly; Deluxe Monopoly; La Gran Capital; Gute Reise Monopoly; Kleppspelet; Metropoli; Millionær; Millionaire; Monopol; Monopol; Monopol de Luxe; Monopol De Luxe; Monopoli; Monopoli: Edizione Europea; Monopoli: Nopean sijoittajan kiinteistöpeli; Monopolio; Monopoly (Madrid/Barcelona); Monopoly 60; Monopoly Edición Limitada (caja de madera); Monopoly Heute 2006; Monopoly houten editie; Monopoly Θησαυροι της Ελλαδας; Monopoly: 1935 Deluxe; Monopoly: 1935 Retro; Monopoly: 25th Anniversary; Monopoly: 50th Anniversary Edition; Monopoly: 60th Anniversary Edition (1935–1995); Monopoly: 65th Anniversary 1935-2000; Monopoly: 70ste verjaardagseditie; Monopoly: 70th Anniversary Edition; Monopoly: 80th anniversary edition 1935–2015; Monopoly: 85th Anniversary Edition; Monopoly: Das berühmte Gesellschaftsspiel; Monopoly: Das berühmte Gesellschaftsspiel, Österreich Ausgabe; Monopoly: Deluxe Anniversary Edition; Monopoly: Edizione Nostalgia; Monopoly: General Mills Collector's Edition; Monopoly: Greek Nostalgia Wooden Edition; Monopoly: Hið heimsfræga spil um fasteignaviðskipti; Monopoly: KeyChain Edition; Monopoly: Lietuva; Monopoly: Nostalgia Tin BoxEdition; Monopoly: Nostalgia Wooden Box; Monopoly: Philadelphia Edition; Monopoly: Premier 70th Anniversary Edition; Monopoly: Replik der deutschen Ausgabe von 1936; Monopoly: South African Edition; Monopoly: Standard Tunisian; Monopoly: Swedish; Monopoly: Swiss Edition; Monopoly: The Original; Monopoly: Token Madness; Monopoly: Νοσταλγία; Mr. Paploo Millioner; Orkdalspillet; Sandnesspillet; Stavangerspillet; World's Smallest Monopoly; World's Smallest Monopoly; Μονοπώλιο; Монополия; Москва; מונופול; מונופול קלאסי; モノポリー; 大富翁/强手棋; 모노폴리; 모노폴리 넘버 원; 모노폴리 클래식",1935,"Theme&#10;Players take the part of land owners, attempting to buy and then develop their land. Income is gained by other players visiting their properties and money is spent when they visit properties belonging to other players. When times get tough, players may have to mortgage their properties to raise cash for fines, taxes and other misfortunes.&#10;&#10;Gameplay&#10;On their turn, a player rolls two dice and moves that number of spaces around the board. If the player lands on an as-yet-unown...",2,8,180,8,Economic,Auction / Bidding; Auction: English; Income; Loans; Lose a Turn; Ownership; Player Elimination; Roll / Spin and Move; Set Collection; Track Movement; Trading,Charles Darrow; Elizabeth J. Magie (Phillips),"Parker Brothers; (Self-Published); (Unknown); A. F. Tompson & Son Ltd.; Åhlén & Åkerlund; Alga; Altap; ASS Altenburger Spielkarten; Aurimagic; Barnes & Noble; Borras Plana S.A.; Brohm-Parker-Spiele; Carlit; Clipper; deSka; Editrice Giochi; Edwards Dunlop And Company Limited; Epoch Co., Ltd.; Estrela; Franz Schmidt; Funskool Games; General Mills; Globetrade; Hanayama; Hasbro; Inspiration tv network; JinLiLai; John Sands Pty Ltd; John Waddington Ltd.; Kasco Industries; Klee; Kod Kod; Korea Boardgames; Kuvataide; Leaping Dog; Majora; Manhattan Agencies; MB Juegos; Metrotoy; MIKA; Miro Company; N.W. Damm & Søn (Damm); NeoTroy Games; Nilco S.A.; Nýja leikfangagerðin; The Op Games; Oy Fenno-Alga Ab; PanGraf; Parker Spiele; Remoundo; Schmidt Spiele; Schtelber; Smeets & Schippers; Super Impulse; The Swan Press Limited, Johannesburg; Tilsit; Toltoys; Tomy; Tomy Company, Ltd. (Takara Tomy); Waddingtons; Winning Moves Games (USA); Winning Solutions (WS Game Company); Zontik Games",28765,4.3637,4.29171,38131,1.6243,56452
keski.3068002,Game of phones,,2020,2020,[2020],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Lautapelit.fi,"Tee vaikutus tuomariin! Pidä puhelimesi valmiina ja kun tehtävä luetaan, etsi tietoa, lähetä viestejä, ota hauskoja kuvia tai näytä hassuin vauvakuva itsestäsi!",lautapelit; pelit; seurapelit; perhepelit,,,Ikäsuositus 12+.,"1 lautapeli + 1 sääntökortti, kotelo 17 x 9 x 8 cm",179701,Game of Phones,Game of Phones; Game of Phones: Mini Game; Игра смартфонов,2015,"Game of Phones works along the lines of Apples to Apples, with one player serving as judge each round and the other players usually trying to do something so that the judge awards them the point for that round.&#10;&#10;For this game, all of the challenges involve you using your smartphone. More specifically, the judge draws a card for the round and reads the prompt to everyone else, e.g., &quot;Find the best #selfie&quot; or &quot;Show the last photo you took&quot; or &quot;Find the weirdest Go...",3,99,15,13,Card Game; Electronic; Humor; Party Game,Hand Management; Simultaneous Action Selection,Luke Stern; Sam Wander,(Self-Published); Breaking Games; Magellan,27486,5.2678,5.47354,124,1,749
keski.2613979,Menolippu,Ticket to ride,2014,2014,2014.,fin,,"{'primary': {'Moon, Alan R.': {'role': ['-']}}, 'secondary': {'Moon, Alan R., suunnittelija': {'role': ['suunnittelija']}}, 'corporate': []}",Lautapelit.fi [jakaja],,pelit; lautapelit,,,,1 lautapeli (useita osia kotelossa),9209,Ticket to Ride,"Ticket to Ride; ¡Aventureros al Tren!; Les Aventuriers du Rail; Jízdenky, prosím!; Menolippu; Ticket to Ride سكة سفر; Wsiąść do Pociągu; Zug um Zug; Τρενάκια; เกมต่อรถไฟ; チケット・トゥ・ライド・アメリカ; 乗車券; 鐵道任務; 铁路环游; 티켓 투 라이드",2004,"With elegantly simple gameplay, Ticket to Ride can be learned in under 15 minutes. Players collect cards of various types of train cars they then use to claim railway routes in North America. The longer the routes, the more points they earn. Additional points come to those who fulfill Destination Tickets &ndash; goal cards that connect distant cities; and to the player who builds the longest continuous route.&#10;&#10;&quot;The rules are simple enough to write on a train ticket &ndash; each turn...",2,5,60,8,Trains,Connections; Contracts; End Game Bonuses; Hand Management; Network and Route Building; Open Drafting; Push Your Luck; Set Collection,Alan R. Moon,"Days of Wonder; ADC Blackfire Entertainment; asmodee; Bandai Co., Ltd.; Boardgame Space; Edge Entertainment; Enigma (Bergsala Enigma); Galápagos Jogos; Giochi Uniti; Happy Baobab; Hobby Japan; Hobby World; Kaissa Chess & Games; Korea Boardgames; Lautapelit.fi; Nordic Games GmbH; Rebel Sp. z o.o.; Siam Board Games; Swan Panasia Co., Ltd.",248,7.38889,7.2666,94948,1.8224,141109
keski.3122570,Harry Potter : labyrinth,Labyrinth,2019,2019,[2019],fin,,"{'primary': {'Kobbert, Max J.': {'role': ['-']}, 'Paul Windle Creative Art Studio': {'role': ['-']}}, 'secondary': {'Kobbert, Max J., designer': {'role': ['designer']}}, 'corporate': {'Paul Windle Creative Art Studio, kuvittaja': {'role': ['kuvittaja']}}}",Ravensburg VerlagGmbH,,lautapelit; pelit,['labyrintit'],,Ikäsuositus: yli 7-vuotiaille.,1 lautapeli (useita osia kotelossa) ; 38 x 28 x 6 cm + 1 sääntövihko (19 sivua),24422,Labyrinth,Labyrinth,2001,"The Felsberger Labyrinth is a beautifully made game that plays very well. The high-quality board houses a set of movable channels and, as expected, the goal is to get the ball to flow the way you want it to. The board sits on a stand that allows it to tilt in any direction.&#10;&#10;",2,4,15,8,Action / Dexterity; Maze,Area-Impulse,Juerg Buhler,Felsberger,,6.13636,0,22,2,103
keski.3252205,Candy store,,2021,2021,2021.,fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Trefl,,pelit; palapelit,,,,1 palapeli (useita osia kotelossa),257842,Candy Store,Candy Store,0,"Be the first to fill your jar with candy.&#10;&#10;The Candy Store Game is an exciting early learning game which teaches color recognition and matching, provides practice in counting, encourages observation skills and develops hand-eye coordination.&#10;&#10;",2,4,0,3,Children's Game,,,Make Believe Games,,0,0,0,0,1
keski.3382056,Clank! : a deck-building adventure,,2016,2016,[2016],eng,,"{'primary': {'Dennen, Paul': {'role': ['-']}, 'Beisner, Rayph': {'role': ['-']}, 'Herring, Derek': {'role': ['-']}, 'Parker, Levi': {'role': ['-']}, 'Storm, Nate': {'role': ['-']}}, 'secondary': {'Dennen, Paul, designer': {'role': ['designer']}, 'Beisner, Rayph, kuvittaja': {'role': ['kuvittaja']}, 'Herring, Derek, kuvittaja': {'role': ['-']}, 'Parker, Levi, kuvittaja': {'role': ['-']}, 'Storm, Nate, kuvittaja': {'role': ['-']}}, 'corporate': []}",Dire Wolf Digital,"Burgle your way to adventure in Clank!, the new deck-building board game. Sneak into an angry dragon's mountain lair to steal precious artifacts. Delve deeper to find more valuable loot. Acquire cards for your deck and watch your thievish abilities grow. Be quick and be quiet. One false-step and -- CLANK! Each careless sound draws the attention of the dragon, and each artifact stolen increases its rage. You can only enjoy your plunder if you make it out of the depths alive!",lautapelit; pelit; korttipelit,['varkaat']; ['lohikäärmeet']; ['saaliit']; ['aarteet'],,Ikäsuositus: 12+,1 lautapeli,,,,,,,,,,,,,,,,,,,
keski.3243850,Horse academy,,2021,2021,[2021],fin,,"{'primary': {'Peeters, Raf': {'role': ['-']}}, 'secondary': {'Peeters, Raf, designer': {'role': ['designer']}}, 'corporate': []}",Smart Games,,lautapelit; yksinpelit; ongelmanratkaisupelit,['hevonen']; ['ratsastus'],,Ikäsuositus: yli 7-vuotiaille.,"1 lautapeli (useita osia kotelossa) + 1 taitelehti, 1 liite (64 sivua)",,,,,,,,,,,,,,,,,,,
keski.3255712,Pokémon : labyrinth,,2008,2008,©2008; [2021],fin; swe; dan; nor; isl,,"{'primary': {'Kobbert, Max J.': {'role': ['-']}, 'Dreisipur': {'role': ['-']}}, 'secondary': {'Kobbert, Max J., designer': {'role': ['designer']}}, 'corporate': {'Dreisipur, kuvittaja': {'role': ['kuvittaja']}}}",Ravensburger Spieleverlag,,lautapelit; pelit; lastenpelit,['Pokémon']; ['labyrintit']; ['aarteenetsintä'],,Ikäsuositus: 7-99 -vuotiaille,1 lautapeli + 1 sääntövihko (16 sivua),,,,,,,,,,,,,,,,,,,
keski.3374397,Paleo : yhteistyöseikkailupeli,,2022,2022,[2022],fin,und,"{'primary': {'Rustemeyer, Peter': {'role': ['-']}, 'Stämmele, Franz-Georg': {'role': ['-']}, 'Mayer, Dominik': {'role': ['-']}, 'Schell, Ingram': {'role': ['-']}}, 'secondary': {'Rustemeyer, Peter, designer': {'role': ['designer']}, 'Stämmele, Franz-Georg, graafinen suunnittelija': {'role': ['graafinen suunnittelija']}, 'Mayer, Dominik, kuvittaja': {'role': ['kuvittaja']}, 'Schell, Ingram, kuvittaja': {'role': ['-']}}, 'corporate': []}",Lautapelit.fi,"Uusi päivä koittaa kivikaudella. Heimonne kamppailee yhteistuumin elannostaan ja pyrkii tarmokkaasti kohti uusia edistysaskeleita. Erämaa on kuitenkin pullollaan vaaroja: villieläimiä, myrskyjä ja vieraita heimoja. Paleossa johdatatte yhdessä metsästäjiänne, keräilijöitänne ja sotureitanne kivikautisen luonnon helmassa kohti uusia mahdollisuuksia ja salaisuuksia. Selviytyäksenne tarvitsette keksimiänne uusia työkaluja, toistenne apua ja ehkäpä myös hitusen onnea.",lautapelit; pelit; yhteistyöpelit; perhepelit; kaksinpelit; kolminpelit; nelinpelit,['kalliomaalaukset']; ['kivikausi']; ['heimot'],,Ikäsuositus: yli 10-vuotiaille.; Ikäsuositus: 10+.,"1 lautapeli (useita osia kotelossa) ; 30 x 30 x 8 cm + 2 sääntövihkoa (8, 12 sivua)",,,,,,,,,,,,,,,,,,,
